,REV_ID,score,compound,sentiment,label,sexist score
0,804,"{'neg': 0.03, 'neu': 0.782, 'pos': 0.187, 'compound': 0.9992}",0.9992,pos,not sexist,0.997038364
1,1271,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.8658}",0.8658,pos,not sexist,0.997038364
2,1733,"{'neg': 0.337, 'neu': 0.663, 'pos': 0.0, 'compound': -0.7249}",-0.7249,neg,not sexist,0.997038364
3,1546,"{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.4199}",0.4199,pos,not sexist,0.997038364
4,608,"{'neg': 0.115, 'neu': 0.707, 'pos': 0.178, 'compound': 0.9739}",0.9739,pos,not sexist,0.997163475
5,1075,"{'neg': 0.035, 'neu': 0.62, 'pos': 0.345, 'compound': 0.9855}",0.9855,pos,not sexist,0.997163475
6,265,"{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.9949}",0.9949,pos,not sexist,0.997256458
7,20,"{'neg': 0.091, 'neu': 0.832, 'pos': 0.078, 'compound': -0.2533}",-0.2533,neg,not sexist,0.997268677
8,1446,"{'neg': 0.07, 'neu': 0.837, 'pos': 0.094, 'compound': 0.7902}",0.7902,pos,not sexist,0.99727267
9,704,"{'neg': 0.047, 'neu': 0.863, 'pos': 0.09, 'compound': 0.9408}",0.9408,pos,not sexist,0.99727267
10,1171,"{'neg': 0.091, 'neu': 0.863, 'pos': 0.047, 'compound': -0.9337}",-0.9337,neg,not sexist,0.99727267
11,986,"{'neg': 0.133, 'neu': 0.724, 'pos': 0.143, 'compound': 0.9142}",0.9142,pos,not sexist,0.997295082
12,519,"{'neg': 0.177, 'neu': 0.699, 'pos': 0.123, 'compound': -0.9612}",-0.9612,neg,not sexist,0.997295082
13,376,"{'neg': 0.054, 'neu': 0.797, 'pos': 0.149, 'compound': 0.9968}",0.9968,pos,not sexist,0.997300088
14,1530,"{'neg': 0.112, 'neu': 0.681, 'pos': 0.207, 'compound': 0.9689}",0.9689,pos,not sexist,0.9973014
15,1255,"{'neg': 0.084, 'neu': 0.802, 'pos': 0.113, 'compound': 0.204}",0.204,pos,not sexist,0.9973014
16,1717,"{'neg': 0.091, 'neu': 0.801, 'pos': 0.108, 'compound': 0.915}",0.915,pos,not sexist,0.9973014
17,788,"{'neg': 0.136, 'neu': 0.66, 'pos': 0.203, 'compound': 0.9782}",0.9782,pos,not sexist,0.9973014
18,163,"{'neg': 0.148, 'neu': 0.785, 'pos': 0.067, 'compound': -0.9653}",-0.9653,neg,not sexist,0.997306108
19,263,"{'neg': 0.041, 'neu': 0.818, 'pos': 0.14, 'compound': 0.9955}",0.9955,pos,not sexist,0.9973194
20,201,"{'neg': 0.043, 'neu': 0.85, 'pos': 0.107, 'compound': 0.9475}",0.9475,pos,not sexist,0.997341931
21,489,"{'neg': 0.029, 'neu': 0.731, 'pos': 0.24, 'compound': 0.9665}",0.9665,pos,not sexist,0.997342765
22,956,"{'neg': 0.028, 'neu': 0.779, 'pos': 0.193, 'compound': 0.9982}",0.9982,pos,not sexist,0.997342765
